temperature,reactant_0,reactant_1,reactant_2,reactant_3,solvent_0,catalyst_0,product_0,product_1,reactant_4,reactant_5,reactant_6,reactant_7
318.06609157554766,O,COC=1C=C(C=CC1)C=1OC2=C(C1C)C=CC=C2,COC,Cl.N1=CC=CC=C1,O1CCOCC1,[Ti](Cl)(Cl)(Cl)Cl.[Zn],OC=1C=C(C=CC1)C=1OC2=C(C1C)C=CC=C2,OC(COC=1C=C(C=CC1)C=1OC2=C(C1C)C=CC=C2)CO,,,,
321.3376305759295,C(C1=CC=CC=C1)OC1=CC=C(C=C1)Br,[H-].[K+],N1=CC=C(C=C1)N1CC(NCC1)=O,,O,[Cu]I,C(C1=CC=CC=C1)OC1=CC=C(C=C1)N1C(CN(CC1)C1=CC=NC=C1)=O,N,,,,
266.3368365030843,OC1CCCC=2C=CC=NC12,,,,C(Cl)Cl,[O-2].[O-2].[Mn+4],OC1CCCC=2C=CC=NC12,N1=CC=CC=2CCCC(C12)=O,,,,
243.2484921588333,ClC1=NC2=CC(=C(C=C2C(N1)=O)OC)OC,N=1C=CN2C1CN(CC2)C=2NC1=CC(=C(C=C1C(N2)=O)OC)OC,N=1C=CN2C1CNCC2,C([O-])([O-])=O.[K+].[K+],CN(C)C=O,C(C)(=O)[O-].[Pd+2].C(C)(=O)[O-],[NH4+].[OH-],COC=1C=C2C(N=C(NC2=CC1OC)N1CC=2N(CC1)C(=CN2)C2=CC=CC=C2)=O,C1(=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,BrC1=CC=CC=C1,,
265.5849959142039,O.NN,ClC=1C=C(C=CC1)C=1C=C2C3(C=NC2=CC1)C(CCCC3)NO,,,C(C)O,[Ni],[OH-].[NH4+],ClC=1C=C(C=CC1)C=1C=C2C3(C(=NC2=CC1)N)CCCCC3,,,,
283.65987780357955,ON1C(N(C(N(C1=O)O)=O)O)=O,O=O,C(C)(=O)O,CC=1C=CC(=CC1)C(=O)O,O,C(C)(=O)[O-].[Mn+2].C(C)(=O)[O-],C(C1=CC=C(C(=O)O)C=C1)(=O)O,CC=1C=CC(=CC1)C(=O)O,,,,
229.82809471350785,O=O,C(C)(=O)O,C(C)(=O)ON1C(N(C(N(C1=O)OC(C)=O)=O)OC(C)=O)=O,CC=1C=CC(=CC1)C(=O)O,O,C(C)(=O)[O-].[Mn+2].C(C)(=O)[O-],C(C1=CC=C(C(=O)O)C=C1)(=O)O,CC=1C=CC(=CC1)C(=O)O,,,,
303.8055644374573,O=O,C(C)(=O)ON1C(N(C(N(C1=O)OC(C)=O)=O)OC(C)=O)=O,C1=CC=CC=2C3=CC=CC=C3CC12,,C(C)(=O)O,C(C)(=O)[O-].[Mn+2].C(C)(=O)[O-],C1(C=CC=C2C3=CC=CC=C3C=C12)=O,C1=CC=CC=2C3=CC=CC=C3CC12,,,,
258.7688420738884,N(=NC(C#N)(C)C)C(C#N)(C)C,ON1C(N(C(N(C1=O)O)=O)O)=O,O=O,CC=1C=CC(=CC1)OC(=O)C,C(C)(=O)O,C(C)(=O)[O-].[Mn+2].C(C)(=O)[O-],C(C)(=O)OC1=CC=C(C(=O)O)C=C1,CC=1C=CC(=CC1)OC(=O)C,,,,
224.15935738789355,N(=NC(C#N)(C)C)C(C#N)(C)C,ON1C(N(C(N(C1=O)O)=O)O)=O,O=O,C(C)(=O)OC=1C=C(C=CC1)C,C(C)(=O)O,C(C)(=O)[O-].[Co+2].C(C)(=O)[O-],C(C)(=O)OC=1C=C(C(=O)O)C=CC1,C(C)(=O)OC=1C=C(C=CC1)C,,,,
244.56547334895782,ON1C(N(C(N(C1=O)O)=O)O)=O,O=O,C1(=CC=C(C=C1)C#N)C,,C(C)(=O)O,C(C)(=O)[O-].[Co+2].C(C)(=O)[O-],C(#N)C1=CC=C(C(=O)O)C=C1,C(#N)C1=CC=C(C=O)C=C1,,,,
321.11372704209407,C(C)(C)(C)C1=CC=C(C=C1)C,O=O,ON1C(N(C(N(C1=O)O)=O)O)=O,,C(C)(=O)O,C(C)(=O)[O-].[Co+2].C(C)(=O)[O-],C(C)(C)(C)C1=CC=C(C(=O)O)C=C1,C(C)(C)(C)C1=CC=C(C=O)C=C1,,,,
274.67160904402,O=O,ON1C(N(C(N(C1=O)O)=O)O)=O,ClC1=CC=C(C=C1)C,,C(C)(=O)O,C(C)(=O)[O-].[Co+2].C(C)(=O)[O-],ClC1=CC=C(C(=O)O)C=C1,ClC1=CC=C(C=C1)C,,,,
265.58818019220814,C1(=CC=CC=C1)C,O=O,ON1C(N(C(N(C1=O)O)=O)O)=O,,C(C)(=O)O,C(C)(=O)[O-].[Co+2].C(C)(=O)[O-],C(C1=CC=CC=C1)(=O)O,C(C1=CC=CC=C1)=O,,,,
290.3657184568213,ON1C(N(C(N(C1=O)O)=O)O)=O,C(C)(=O)O,[N+](=O)([O-])C1=C(C=CC=C1)C,,O,C(C)(=O)[O-].[Mn+2].C(C)(=O)[O-],[N+](=O)([O-])C1=C(C=CC=C1)C,[N+](=O)([O-])C1=C(C(=O)O)C=CC=C1,,,,
286.7268020248488,ON1C(N(C(N(C1=O)O)=O)O)=O,C(C)(=O)O,[N+](=O)([O-])C1=CC=C(C=C1)C,,O,C(C)(=O)[O-].[Mn+2].C(C)(=O)[O-],[N+](=O)([O-])C1=CC=C(C=O)C=C1,[N+](=O)([O-])C1=CC=C(C(=O)O)C=C1,,,,
295.9589166306485,C(C)(C)N(CCNC(=O)NCCNC(OCC1=CC=CC=C1)=O)C(C)C,,,,C(C)O,[OH-].[Pd+2].[OH-],NCCNC(=O)NCCN(C(C)C)C(C)C,N,,,,
236.34106632058712,OC1=CC=2C=3C4=C(C(=CC3NC2C=C1)C1=C(C=CC(=C1)[N+](=O)[O-])OC)C(NC4=O)=O,Cl,C1CCOC1,,CO,B#[Ni],OC1=CC=2C=3C4=C(C(=CC3NC2C=C1)C1=C(C=CC(=C1)[N+](=O)[O-])OC)C(NC4=O)=O,NC=1C=CC(=C(C1)C1=CC=2NC=3C=CC(=CC3C2C2=C1C(NC2=O)=O)O)OC,,,,
275.26165632674434,C(=O)(OCC1=CC=CC=C1)NCC1=CC=C(C(=O)O)C=C1,C(=O)(OC(C)(C)C)NCCC[C@H](N)C(=O)O,CCN=C=NCCCN(C)C.Cl,,CN(C)C=O,CN(C)C=1C=CN=CC1,Cl,C(=O)(OCC1=CC=CC=C1)NCC1=CC=C(C(=O)N[C@@H](CCCN)C(=O)O)C=C1,,,,
288.57597159615057,[H][H],ClC=1C=CC(=NC1)NC(=O)C1=C(C=CC(=C1)C)[N+](=O)[O-],,,CO,[Pt],NC1=C(C=CC=C1)C(=O)NC1=NC=CC=C1,[Cl-],,,,
301.1094997035118,[H][H],ClC=1C=CC(=NC1)NC(=O)C1=C(C=CC(=C1)C)[N+](=O)[O-],,,CO,[Pt],NC1=C(C=CC=C1)C(=O)NC1=NC=CC=C1,[Cl-],,,,
303.3271000414135,NC1=NC=C(C2=C1C(=CS2)Br)/C=C/C(=O)NC,C(=O)([O-])[O-].[Cs+].[Cs+],O,ClC1=CC=C(C=C1)B(O)O,COCCOC.O.C(C)O,Cl[Pd]([P](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3)([P](C4=CC=CC=C4)(C5=CC=CC=C5)C6=CC=CC=C6)Cl,NC1=NC=C(C2=C1C(=CS2)C2=CC=C(C=C2)Cl)/C=C/C(=O)NC,C(C)(=O)[O-].[NH4+],,,,
237.7989977039534,O=O,C(C)C1=CC=CC=C1,C(C)(=O)ON1C(C=2C(C1=O)=CC=CC2)=O,,C(C)(=O)O,O.O.O.O.C(C)(=O)[O-].[Mn+2].C(C)(=O)[O-],C(C1=CC=CC=C1)(=O)O,C(C)(=O)C1=CC=CC=C1,,,,
258.94551371802646,C(C(=O)Cl)(=O)Cl,C(NN)(=O)OC(C)(C)C,CC1=NOC(=C1CCC(=O)O)C,,ClCCl,CN(C=O)C,CC1=NOC(=C1CCC(=O)NNC(=O)OC(C)(C)C)C,N,,,,
267.1134507036219,C1(=CC=CC=C1)B(O)O,C(Cl)(Cl)Cl.CO,NC1=C2C(C(=O)NC2=O)=C(C=C1I)Br,[Cl-].[NH4+],C1CCOC1,C=1C=CC(=CC1)[P](C=2C=CC=CC2)(C=3C=CC=CC3)[Pd]([P](C=4C=CC=CC4)(C=5C=CC=CC5)C=6C=CC=CC6)([P](C=7C=CC=CC7)(C=8C=CC=CC8)C=9C=CC=CC9)[P](C=1C=CC=CC1)(C=1C=CC=CC1)C=1C=CC=CC1,NC1=C2C(C(=O)NC2=O)=C(C=C1C1=CC=CC=C1)C1=CC=CC=C1,NC1=C2C(C(=O)NC2=O)=C(C=C1C1=CC=CC=C1)Br,,,,
267.13980734021715,OCC1=CC=C(C=C1)B(O)O,NC1=C2C(C(=O)NC2=O)=C(C=C1I)Br,,,C1CCOC1,C=1C=CC(=CC1)[P](C=2C=CC=CC2)(C=3C=CC=CC3)[Pd]([P](C=4C=CC=CC4)(C=5C=CC=CC5)C=6C=CC=CC6)([P](C=7C=CC=CC7)(C=8C=CC=CC8)C=9C=CC=CC9)[P](C=1C=CC=CC1)(C=1C=CC=CC1)C=1C=CC=CC1,NC1=C2C(C(=O)NC2=O)=C(C=C1C1=CC=C(C=C1)CO)C1=CC=C(C=C1)CO,NC1=C2C(C(=O)NC2=O)=C(C=C1C1=C(C=CC=C1)CO)Br,,,,
256.2269810093147,C1(=CC=CC=C1)O,OO,O1CCOCC1,,O,C1CC(OC1)N2C=C(C(=O)NC2=O)F,C1(O)=CC=C(O)C=C1,C=1(O)C(O)=CC=CC1,,,,
320.3739964204402,C(=O)NC1=CC=CC=C1,C(C)N(CC)CC,,,N1=CC=CC=C1,[Cu]I,NC1=CC=CC=C1,C(=O)NC1=CC=CC=C1,,,,
238.95871888871974,[H][H],C1(=CC=CC=C1)COCC1COC=2C(=NC=CC2)O1,,,CO,[Pd],O1C[C@@H](OC2=NC=CC=C21)CO,O1C[C@H](OC2=NC=CC=C21)CO,,,,
300.1124486633378,C(CC)N(CCCOC1=CC=C(C=C1)C1=NC2=C(N1C/C=C/CN1C(=NC3=C1C=CC=C3)C3=CC=C(OCCCN(CCC)CCC)C=C3)C=CC=C2)CCC,,,,CO,[Pd],C(CC)N(CCCOC1=CC=C(C=C1)C1=NC2=C(N1CCCCN1C(=NC3=C1C=CC=C3)C3=CC=C(OCCCN(CCC)CCC)C=C3)C=CC=C2)CCC,N,,,,
245.74637880663144,O=S(Cl)Cl,FC=1C=CC(=C2C[C@H](COC12)N(CCC)C(CC)CC)C(=O)OC,FC=1C=CC(=C2C[C@H](COC12)N(CCC)C(CC)CC)C(=O)O,[OH-].[K+],O,CN(C)C=O,C(N)(=O)C1=C2C[C@H](COC2=C(C=C1)F)N(CCC)C(CC)CC,N,,,,
272.2708585538819,Cl,BrC1=C(C=C(C=C1)OC)C(C)C,ClC(OC)Cl,BrC1=C(C=C(C=C1)C(C)C)OC,ClCCCl,Cl[Ti](Cl)(Cl)Cl,BrC=1C(=CC(=C(C=O)C1)C(C)C)OC,BrC=1C(=CC(=C(C=O)C1)OC)C(C)C,,,,
312.9040527801393,CN(CC#C)C,ClC=1C=CC=2N(N1)C(=NN2)COC2=CC=NC1=CC(=CC=C21)OC,C(C)N(CC)CC,,CC#N,Cl[Pd]([P](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3)([P](C4=CC=CC=C4)(C5=CC=CC=C5)C6=CC=CC=C6)Cl,COC1=CC=C2C(=CC=NC2=C1)OCC1=NN=C2N1N=C(C=C2)C#CCN(C)C,CO.[NH4+].[OH-],,,,
233.46826654222335,N1(CCOCC1)C(=O)C=1C=C2C(C=C(OC2=C(C1)C1NCCC1)N1CCOCC1)=O,C([O-])([O-])=O.[Cs+].[Cs+],BrC1=CC(=CC(=C1)F)F,CC1(C2=CC=CC(=C2OC=2C(=CC=CC12)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1)C,O1CCOCC1,C(C)(=O)O[Pd]OC(C)=O,FC=1C=C(C=C(C1)F)N1[C@H](CCC1)C=1C=C(C=C2C(C=C(OC12)N1CCOCC1)=O)C(=O)N1CCOCC1,FC=1C=C(C=C(C1)F)N1C(CCC1)C=1C=C(C=C2C(C=C(OC12)N1CCOCC1)=O)C(=O)N1CCOCC1,,,,
295.37384018827225,N#N,CS(=O)[O-].[Na+],BrC=1C=C(C=2C(=CN(C2C1)C1CC1)C)C(=O)NCC=1C(NC(=CC1C)C)=O,CN(CCN)C,O,FC(S(=O)(=O)[O-])(F)F.[Cu+2].FC(S(=O)(=O)[O-])(F)F,C1(CC1)N1C=C(C=2C(=CC(=CC12)S(=O)(=O)C)C(=O)NCC=1C(NC(=CC1C)C)=O)C,N,,,,
291.051268476888,N#N,CCN(CC)CC,C(C)(C)(C)[Si](OC(C)C=1OC(=CN1)CO)(C)C,S(=O)(=O)(C)Cl,C(Cl)Cl,CN(C)C=1C=CN=CC1,C(C)(C)(C)[Si](OC(C)C=1OC(=CN1)COS(=O)(=O)C)(C)C,C(C)(C)(C)[Si](OC(C)C=1OC(=CN1)CCl)(C)C,,,,
289.4175913771293,C(C1=CC=CC=C1)N([C@@H]1[C@@H](CN(CC1)C=1C=C(C(=O)OCC)C=C(C1)C)OC)C(=O)OCC1=CC=CC=C1,,,,C(C)O,[C].[Pd],C(=O)[O-].[NH4+],N[C@@H]1[C@@H](CN(CC1)C=1C=C(C(=O)OCC)C=C(C1)C)OC,,,,
243.89907540764875,C(C1=CC=CC=C1)N([C@@H]1[C@@H](CN(CC1)C=1C(=C(C(=O)OC)C=CC1)F)OC)C(=O)OCC1=CC=CC=C1,,,,CO,[C].[Pd],C(=O)[O-].[NH4+],N[C@@H]1[C@@H](CN(CC1)C=1C(=C(C(=O)OC)C=CC1)F)OC,,,,
293.3309912084298,[OH-].[Na+],C(C)I,BrC=1C(=NNC1)C=1C(=C(C=CC1F)N(S(=O)(=O)C1=C(C=CC(=C1)F)F)COCCOC)F,,C(Cl)Cl,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],BrC=1C(=NN(C1)CC)C=1C(=C(C=CC1F)N(S(=O)(=O)C1=C(C=CC(=C1)F)F)COCCOC)F,BrC1=C(N(N=C1)CC)C=1C(=C(C=CC1F)N(S(=O)(=O)C1=C(C=CC(=C1)F)F)COCCOC)F,,,,
260.75424844305,C(C)N(CC)CC,COC=1C=C(C=C(C1OC)OC)Br,P(OCC1=CC=CC=C1)(OCC1=CC=CC=C1)[O-],,C1(=CC=CC=C1)C,C=1C=CC(=CC1)[P](C=2C=CC=CC2)(C=3C=CC=CC3)[Pd]([P](C=4C=CC=CC4)(C=5C=CC=CC5)C=6C=CC=CC6)([P](C=7C=CC=CC7)(C=8C=CC=CC8)C=9C=CC=CC9)[P](C=1C=CC=CC1)(C=1C=CC=CC1)C=1C=CC=CC1,COC=1C=C(C=C(C1OC)OC)P(OCC1=CC=CC=C1)(OCC1=CC=CC=C1)=O,COC=1C=C(C=C(C1OC)OC)Br,,,,
269.21424423050775,[H][H],C1(=CC=C(C=C1)CC#N)CC#N,,,C(C)(=O)O,[Pt]=O,NCCC1CCC(CC1)CCN,NCCC1=CC=C(C=C1)CCN,,,,
283.7840599777416,C(C)N(CC)CC,ClC1=C(C(=O)NCC=CC=2C=NC(=CC2)OC)C=CC=N1,,,CN(C)C=O,[I-].C(CCC)[N+](CCCC)(CCCC)CCCC,COC1=CC=C(C=N1)C=C1CNC(C=2C=CC=NC12)=O,COC1=CC=C(C=N1)CC1=CNC(C=2C=CC=NC12)=O,,,,
286.5728121389639,C(C(O)CC(=O)O)(=O)O,,,,O,[O-2].[Zn+2],C(C(O)CC(=O)[O-])(=O)[O-],C(C(O)CC(=O)O)(=O)O,,,,
301.88715889252376,[H][H],C(C1=CC=CC=C1)NCC1=CC=CC=C1,C(C1=CC=CC=C1)=O,N,CO,[Pd],C(C1=CC=CC=C1)N(CC1=CC=CC=C1)CC1=CC=CC=C1,C(C1=CC=CC=C1)O,,,,
292.1696454519523,C(CCC)[Sn](C(=C)OCC)(CCCC)CCCC,C(Cl)Cl,BrC1=CC(=C(C=C1)[C@H](C)N[S@](=O)C(C)(C)C)F,C(C)N(CC)CC,C1(=CC=CC=C1)C,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.Cl[Pd]Cl.[Fe+2],[NH4+].[OH-],C(C)OC(=C)C1=CC(=C(C=C1)[C@H](C)N[S@](=O)C(C)(C)C)F,,,,
307.24489045710794,BrC1=C2C=NNC2=CC(=C1)C(F)(F)F,CC1(OB(OC1(C)C)C1=CC(=NC=C1)C(=O)OC)C,C(=O)(O)[O-].[Na+],,O1CCOCC1,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.Cl[Pd]Cl.[Fe+2],C(=O)(C(F)(F)F)O,FC(C1=CC(=C2C=NNC2=C1)C1=CC(=NC=C1)C(=O)O)(F)F,,,,
285.3309618557696,BrC1=C2C=NNC2=CC(=C1)C(F)(F)F,C([O-])([O-])=O.[Na+].[Na+],C1(=CC=CC=C1)B(O)O,,O1CCOCC1,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.Cl[Pd]Cl.[Fe+2],C1(=CC=CC=C1)C1=C2C=NNC2=CC(=C1)C(F)(F)F,C(=O)(C(F)(F)F)O,,,,
249.5634299621795,BrC1=C2C=NNC2=CC(=C1)C(F)(F)F,CC1(OB(OC1(C)C)C1=C2CC(NC2=CC=C1)=O)C,C(=O)(O)[O-].[Na+],,O1CCOCC1,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.Cl[Pd]Cl.[Fe+2],C(=O)(C(F)(F)F)O,FC(C1=CC(=C2C=NNC2=C1)C1=C2CC(NC2=CC=C1)=O)(F)F,,,,
328.71547453470265,OCCNC(=O)C1=CC=C(C=C1)B(O)O,BrC1=C2C=NNC2=CC(=C1)C(F)(F)F,C(=O)(O)[O-].[Na+],,O1CCOCC1,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.Cl[Pd]Cl.[Fe+2],C(=O)(C(F)(F)F)O,OCCNC(C1=CC=C(C=C1)C1=C2C=NNC2=CC(=C1)C(F)(F)F)=O,,,,
323.24221579515677,BrC=1C(=NC(=NC1)OC)OC,CC1(OB(OC1(C)C)C1=C2C=NNC2=CC(=C1)C(F)(F)F)C,C([O-])([O-])=O.[Na+].[Na+],,O1CCOCC1,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.Cl[Pd]Cl.[Fe+2],C(=O)(C(F)(F)F)O,COC1=NC=C(C(=N1)OC)C1=C2C=NNC2=CC(=C1)C(F)(F)F,,,,
300.2261324281495,CC1(OB(OC1(C)C)C1=C2C=NNC2=CC(=C1)C(F)(F)F)C,C(=O)(O)[O-].[Na+],NC1=C(C(N(C=N1)C)=O)Br,,O1CCOCC1,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.Cl[Pd]Cl.[Fe+2],C(=O)(C(F)(F)F)O,NC1=C(C(N(C=N1)C)=O)C1=C2C=NNC2=CC(=C1)C(F)(F)F,,,,
330.34644838717577,BrC1=C2C=NNC2=CC(=C1)C(F)(F)F,COC1=NC=C(C=N1)B(O)O,C(=O)(O)[O-].[Na+],,O1CCOCC1,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.Cl[Pd]Cl.[Fe+2],C(=O)(C(F)(F)F)O,COC1=NC=C(C=N1)C1=C2C=NNC2=CC(=C1)C(F)(F)F,,,,
256.1647890406124,BrC1=C2C=NNC2=CC(=C1)C(F)(F)F,C(=O)(O)[O-].[Na+],CN(C1=NC=C(C=N1)B1OC(C(O1)(C)C)(C)C)C,,O1CCOCC1,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.Cl[Pd]Cl.[Fe+2],C(=O)(C(F)(F)F)O,CN(C1=NC=C(C=N1)C1=C2C=NNC2=CC(=C1)C(F)(F)F)C,,,,
