temperature,reactant_0,reactant_1,reactant_2,reactant_3,solvent_0,catalyst_0,product_0,product_1,product_2,product_3,reagent_0,product_4,product_5,reactant_4,reactant_5,reactant_6,reactant_7
294.0297764213017,BrC1=CC=C(OCCOC2=C(C(=NC=N2)NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)C2=CC=C(C=C2)C)C=C1,[F-].[K+],O1CCOCC1,C(C)OC(=C)[Sn](CCCC)(CCCC)CCCC,C(C)(=O)OCC,C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3.Cl[Pd]Cl,C(C)(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC1=NC=NC(=C1C1=CC=C(C=C1)C)OCCOC1=CC=C(C=C1)C(=O)OCC,C(C)(=O)C1=CC=C(OCCOC2=C(C(=NC=N2)NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)C2=CC=C(C=C2)C)C=C1,C(C)(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC1=NC=NC(=C1C1=CC=C(C=C1)C)OCCOC1=CC=CC=C1,,,,,,,,
237.7837826489481,O=O,C(C)(C)C1=CC=CC=C1,C(C)(=O)ON1C(C=2C(C1=O)=CC=CC2)=O,,C(C)(=O)O,O.O.O.O.C(C)(=O)[O-].[Mn+2].C(C)(=O)[O-],C(C1=CC=CC=C1)(=O)O,C(C)(=O)C1=CC=CC=C1,C1(=CC=CC=C1)C(C)(C)O,,,,,,,,
311.57936587850975,O=O,C(C)(C)C1=CC=CC=C1,C(C)(=O)ON1C(C=2C(C1=O)=CC=CC2)=O,,C(C)(=O)O,O.O.O.O.C(C)(=O)[O-].[Mn+2].C(C)(=O)[O-],C(C1=CC=CC=C1)(=O)O,C(C)(=O)C1=CC=CC=C1,C1(=CC=CC=C1)C(C)(C)O,,,,,,,,
291.82759367167006,N1CCOCC1,Br\C=C/CCCC,C=C,C1(=C(C=CC=C1)P(C1=C(C=CC=C1)C)C1=C(C=CC=C1)C)C,C(C)#N,C(C)(=O)[O-].[Pd+2].C(C)(=O)[O-],C=C\C=C/CCCC,CC(C=CCCCC)N1CCOCC1,CC=CC(CCCC)N1CCOCC1,,,,,,,,
274.9940985484831,ClCl,C1(=CC=CC=C1)C1=CC=CC=C1,ClC1=CC=C(C=C1)C1=CC=CC=C1,,ClC1=CC=CC=C1,[Fe],ClC1=C(C=CC=C1)C1=CC=CC=C1,C1(=CC=CC=C1)C1=CC=CC=C1,ClC=1C=C(C=CC1)C1=CC=CC=C1,ClC1=CC=C(C=C1)C1=CC=CC=C1,,,,,,,
250.5725901920338,[Sn](Cl)(Cl)(Cl)Cl,[OH-].[Na+],[Cl-].[In+3].[Cl-].[Cl-],,O,[N+](=O)([O-])[O-].[Fe+2].[N+](=O)([O-])[O-],[OH-],[Sn](Cl)(Cl)(Cl)Cl,[Cl-].[In+3].[Cl-].[Cl-],,,,,,,,
273.9711297230361,N(=[N+]=[N-])C1C(N(CC(C1)C1=C(C(=CC=C1)F)F)CC(F)(F)F)=O,C(=O)(OC(C)(C)C)OC(=O)OC(C)(C)C,,,CCO,[Pd],C(C)(C)(C)OC(N[C@@H]1C(N(C[C@@H](C1)C1=C(C(=CC=C1)F)F)CC(F)(F)F)=O)=O,C(C)(C)(C)OC(N[C@H]1C(N(C[C@H](C1)C1=C(C(=CC=C1)F)F)CC(F)(F)F)=O)=O,N(CC)CC,,,,,,,,
319.6200804373282,N12[Si]34N5[Si]16N3[Si]25N46,[C-]#[Si+],,,C(C)O,[O-2].[Y+3].[O-2].[O-2].[Y+3],N12[Si]34N5[Si]16N3[Si]25N46,C,[C-]#[Si+],,,,,,,,
242.40716695067692,BrC[C@@H](OC1OCCCC1)C,O1CCCC=C1,BrC[C@H](C)O,,C(C)(=O)O,C1(=CC=C(C=C1)S(=O)(=O)O)C,Br,C1[C@H](C)O1,BrC[C@H](C)O,,,,,,,,
305.4866675519967,N(=[N+]=[N-])C1C(N(CC(C1)C1=C(C(=CC=C1)F)F)CC(F)(F)F)=O,C(=O)(OC(C)(C)C)OC(=O)OC(C)(C)C,,,CCO,[Pd],FC1=C(C=CC=C1F)[C@H]1C[C@H](C(N(C1)CC(F)(F)F)=O)NC(OC(C)(C)C)=O,N(CC)CC,FC1=C(C=CC=C1F)[C@@H]1C[C@@H](C(N(C1)CC(F)(F)F)=O)NC(OC(C)(C)C)=O,,,,,,,,
